,City Name,Tempurature,Latitude,Longitude,Wind Spd,Humidity %,Cloud %
474,Manta,87.8,-0.95,-80.73,9.17,66,40
475,Geraldton,73.4,-28.77,114.6,8.05,88,90
476,Obo,74.95,5.4,26.49,4.23,25,0
477,North Myrtle Beach,68.18,33.82,-78.68,8.05,82,1
478,Moroni,78.8,-11.7,43.26,5.82,88,20
479,Sabratah,59.27,32.79,12.49,10.38,69,14
480,Havre-Saint-Pierre,3.2,50.23,-63.6,9.35,84,1
481,Buraidah,46.4,26.33,43.98,5.93,49,6
482,Gamboula,74.14,4.12,15.14,0.96,29,93
483,Adrar,62.29,20.5,-10.07,13.96,17,100
484,Boddam,43.02,57.47,-1.78,12.75,75,20
485,Urdoma,34.09,61.75,48.54,9.91,98,100
486,Puerto Leguizamo,91.27,-0.19,-74.78,3.2,46,75
487,Cayenne,82.4,4.93,-52.33,11.41,74,90
488,Inhambane,80.19,-23.86,35.38,7.63,81,100
489,Bajil,69.8,15.06,43.29,2.57,82,82
490,Kontagora,79.93,10.4,5.47,9.69,19,0
491,Black River,82.24,18.03,-77.85,18.34,69,20
492,Sotnikovskoye,31.15,45.0,43.78,4.41,94,76
493,Varhaug,44.87,58.61,5.65,21.92,75,75
494,Verin,48.99,41.94,-7.44,5.93,99,83
495,Misratah,60.51,32.38,15.09,13.35,73,2
496,Ipixuna,78.8,-1.76,-48.8,4.7,88,75
497,Kamenka,26.74,51.32,42.77,12.77,93,100
498,Khunti,57.2,23.08,85.28,2.44,87,0
499,Zabid,74.55,14.2,43.32,2.68,68,6
500,Bad Sachsa,51.06,51.59,10.56,8.97,74,84
501,Carballo,52.77,43.21,-8.69,3.36,87,75
502,Petra,53.4,30.32,35.48,6.87,43,14
503,Port Blair,79.56,11.67,92.75,13.24,81,12
504,Goundi,76.69,9.36,17.37,4.5,17,0
505,Goma,55.71,-1.68,29.22,1.12,92,0
506,Noyabrsk,-9.11,63.2,75.45,12.44,94,18
507,Orange Walk District,82.0,17.83,-88.83,9.17,83,40
508,Pauini,85.69,-7.71,-66.98,3.6,68,64
509,Cullinan,69.26,-25.67,28.52,4.7,53,0
510,Kutum,61.16,14.2,24.67,1.25,24,0
511,Atar,65.28,20.52,-13.05,8.3,14,100
512,Filingue,74.37,14.35,3.32,7.92,19,0
513,Meiganga,70.43,6.52,14.3,6.71,18,0
514,Bichena,54.3,10.45,38.2,3.62,28,0
515,Malanje,65.8,-9.54,16.34,3.6,97,97
516,Platanos,44.06,37.67,21.62,8.05,80,54
517,Inverness,43.32,57.48,-4.22,29.97,87,75
518,Paragominas,78.75,-2.97,-47.48,3.04,90,100
519,Wajir,83.98,1.75,40.06,1.7,50,27
520,Nabadwip,63.19,23.42,88.37,5.08,50,0
521,Slidell,77.63,30.28,-89.78,3.36,61,75
522,Jose Bonifacio,93.2,-21.05,-49.69,6.93,34,20
523,Rio Gallegos,55.4,-51.62,-69.22,39.15,32,75
524,Pasni,52.2,25.26,63.47,27.29,40,0
525,Dakar,71.47,14.69,-17.44,6.93,73,100
526,Esim,79.57,4.87,-2.24,4.43,81,0
